Element,AtomicVolume,AtomicWeight,BoilingTemp,BulkModulus,Column,CovalentRadius,Density,ElectronAffinity,Electronegativity,FirstIonizationEnergy,FusionEnthalpy,FusionHeat,GSbandgap,GSenergy_pa,GSestBCClatcnt,GSestFCClatcnt,GSmagmom,GSvolume_pa,HHIp,HHIr,HeatCapacityMass,HeatCapacityMolar,HeatFusion,ICSDVolume,IsAlkali,IsDBlock,IsFBlock,IsMetal,IsMetalloid,IsNonmetal,MeltingTemp,MendeleevNumber,MiracleRadius,NUnfilled,NValance,NdUnfilled,NdValence,NeutronCrossSection,NfUnfilled,NfValence,NpUnfilled,NpValence,NsUnfilled,NsValence,Number,Polarizability,Resistivity,Row,ShearModulus,SpaceGroupNumber,ThermalConductivity,Valence,VaporizationHeat,Wigner,ZungerPP-r_d,ZungerPP-r_p,ZungerPP-r_pi,ZungerPP-r_s,ZungerPP-r_sigma
Ti,17.636317000000002,47.867,3560.0,110.0,4.0,160.0,4507.0,7.6,1.54,6.828119999999999,14.15,18.7,0.0,-7.775227,3.219799,4.056693,2.3e-05,16.69,1100.0,1600.0,0.524,25.06,14.15,17.67,0.0,1.0,0.0,1.0,0.0,0.0,1941.0,43.0,142.0,8.0,4.0,8.0,2.0,6.1,0.0,0.0,0.0,0.0,0.0,2.0,22.0,14.6,22.,4.0,44.0,194.0,22.0,4.0,425.0,1.52,0.28,1.43,0.28,1.15,2.58
V,13.844898,50.9415,3680.0,160.0,5.0,153.0,6110.0,50.6,1.63,6.7461899999999995,21.5,22.8,0.0,-8.939261,2.9632549999999998,3.7334680000000002,0.0,13.01,3300.0,3400.0,0.489,24.89,21.5,13.88,0.0,1.0,0.0,1.0,0.0,0.0,2183.0,46.0,134.0,7.0,5.0,7.0,3.0,5.06,0.0,0.0,0.0,0.0,0.0,2.0,23.0,12.4,31.,4.0,47.0,229.0,31.0,5.0,453.0,1.64,0.26,1.34,0.25,1.09,2.43
Cr,12.092937,51.9961,2944.0,160.0,6.0,139.0,7140.0,64.3,1.66,6.76651,21.0,20.5,0.0,-9.505717,2.81808,3.550559,0.0,11.19,3100.0,4100.0,0.449,23.35,21.0,12.01,0.0,1.0,0.0,1.0,0.0,0.0,2180.0,49.0,130.0,6.0,6.0,5.0,5.0,3.1,0.0,0.0,0.0,0.0,1.0,1.0,24.0,11.6,94.,4.0,115.0,229.0,94.0,6.0,339.0,1.73,0.25,1.37,0.3,1.07,2.44
Mn,12.212703999999999,54.938044999999995,2334.0,120.0,7.0,139.0,7470.0,0.0,1.55,7.434019999999999,12.91,13.2,0.0,-9.020565,2.757836,3.474656,0.00031,10.487586,1600.0,1800.0,0.479,26.32,12.91,12.2,0.0,1.0,0.0,1.0,0.0,0.0,1519.0,52.0,132.0,5.0,7.0,5.0,5.0,13.3,0.0,0.0,0.0,0.0,0.0,2.0,25.0,9.4,7.7,4.0,78.0,217.0,7.7,4.0,220.0,1.61,0.23,1.23,0.24,0.99,2.22
Fe,11.777365,55.845,3134.0,170.0,8.0,132.0,7874.0,15.7,1.83,7.9024,13.81,13.8,0.0,-8.285484,2.778923,3.5012239999999997,2.110663,10.73,2400.0,1400.0,0.449,25.1,13.81,11.78,0.0,1.0,0.0,1.0,0.0,0.0,1811.0,55.0,125.0,4.0,8.0,4.0,6.0,2.56,0.0,0.0,0.0,0.0,0.0,2.0,26.0,8.4,79.,4.0,82.0,229.0,79.0,3.0,347.0,1.77,0.22,1.16,0.21,0.95,2.11
Co,10.995861,58.933195,3200.0,180.0,9.0,126.0,8900.0,63.7,1.88,7.881010000000001,16.2,16.2,0.0,-7.080389,2.736407,3.447656,1.548471,10.245,3100.0,2700.0,0.421,24.81,16.2,11.12,0.0,1.0,0.0,1.0,0.0,0.0,1768.0,58.0,125.0,3.0,9.0,3.0,7.0,37.2,0.0,0.0,0.0,0.0,0.0,2.0,27.0,7.5,100.,4.0,75.0,194.0,100.0,4.0,375.0,1.75,0.21,1.1,0.18,0.92,2.02
Ni,10.941284,58.6934,3186.0,180.0,10.0,124.0,8908.0,112.0,1.91,7.6398,17.48,17.2,0.0,-5.546325,2.743068,3.4560489999999997,0.595395,10.32,1000.0,1500.0,0.444,26.07,17.48,10.86,0.0,1.0,0.0,1.0,0.0,0.0,1728.0,61.0,126.0,2.0,10.0,2.0,8.0,4.5,0.0,0.0,0.0,0.0,0.0,2.0,28.0,6.8,91.,4.0,76.0,225.0,91.0,2.0,378.0,1.75,0.195,1.22,0.26,0.96,2.18
Cu,11.829941999999999,63.546,3200.0,140.0,11.0,132.0,8920.0,118.4,1.9,7.726380000000001,13.6,13.1,0.0,-3.6806550000000002,2.80797,3.537821,0.0,11.07,1600.0,1500.0,0.385,24.44,13.6,11.81,0.0,1.0,0.0,1.0,0.0,0.0,1357.77,64.0,126.0,1.0,11.0,0.0,10.0,3.78,0.0,0.0,0.0,0.0,1.0,1.0,29.0,6.15,400.,4.0,48.0,225.0,400.0,2.0,300.0,1.47,0.185,1.16,0.28,0.88,2.04
Zn,15.205684,65.38,1180.0,70.0,12.0,122.0,7140.0,0.0,1.65,9.394199,7.068,7.35,0.0,-1.24,3.0336939999999997,3.8222150000000004,0.0,13.96,1600.0,1900.0,0.388,25.39,7.068,15.19,0.0,1.0,0.0,1.0,0.0,0.0,692.68,69.0,140.0,0.0,12.0,0.0,10.0,1.1,0.0,0.0,0.0,0.0,0.0,2.0,30.0,5.816667,120.,4.0,43.0,194.0,120.0,2.0,119.0,1.32,0.175,1.06,0.24,0.82,1.88
Ga,19.610513,69.723,2477.0,,13.0,122.0,5904.0,28.9,1.81,5.999301,5.585,5.59,0.0,-3.012255,3.3535489999999997,4.225207,0.0,18.8575,5500.0,1900.0,0.373,26.03,5.585,19.6,0.0,0.0,0.0,1.0,0.0,0.0,302.91,74.0,134.0,5.0,13.0,0.0,10.0,2.9,0.0,0.0,5.0,1.0,0.0,2.0,31.0,8.12,29.,4.0,,64.0,29.0,3.0,256.0,1.31,0.17,0.935,0.175,0.76,1.695
Ge,22.660976,72.64,3093.0,,14.0,120.0,5323.0,119.0,2.01,7.899430000000001,36.94,31.8,0.383,-4.61604,3.583307,4.514685,0.0,23.005,5300.0,1900.0,0.32,23.222,36.94,22.23,0.0,0.0,0.0,0.0,1.0,0.0,1211.4,79.0,114.0,4.0,14.0,0.0,10.0,2.2,0.0,0.0,4.0,2.0,0.0,2.0,32.0,5.84,60.,4.0,,225.0,60.0,4.0,334.0,1.37,0.16,0.84,0.12,0.72,1.56
As,21.723966,74.9216,887.0,22.0,15.0,119.0,5727.0,78.0,2.18,9.7886,24.44,27.7,0.0,-4.650889,3.539684,4.459723,0.0,22.175,3300.0,4000.0,0.329,24.64,24.44,21.52,0.0,0.0,0.0,1.0,1.0,0.0,1090.0,84.0,115.0,3.0,15.0,0.0,10.0,4.2,0.0,0.0,3.0,3.0,0.0,2.0,33.0,4.31,50.,4.0,,166.0,50.0,5.0,32.4,1.44,0.155,0.745,0.075,0.67,1.415
Se,27.208804999999998,78.96,958.0,8.3,16.0,120.0,4819.0,195.0,2.55,9.75239,6.69,5.4,0.799,-3.470792,3.728679,4.697841,0.0,25.92,2200.0,6000.0,0.321,25.363,6.69,29.81,0.0,0.0,0.0,0.0,0.0,1.0,494.0,89.0,118.0,2.0,16.0,0.0,10.0,11.7,0.0,0.0,2.0,4.0,0.0,2.0,34.0,3.77,0.52,4.0,3.7,14.0,0.52,6.0,26.0,,0.15,0.67,0.055,0.615,1.285
Br,42.527825,79.904,332.0,1.9,17.0,120.0,3120.0,324.6,2.96,11.8138,5.285,5.8,1.457,-1.583025,3.892116,4.903759,0.0,29.48,3300.0,6900.0,0.474,75.69,5.285,65.14,0.0,0.0,0.0,0.0,0.0,1.0,265.8,95.0,,1.0,17.0,0.0,10.0,6.8,0.0,0.0,1.0,5.0,0.0,2.0,35.0,3.05,0.12,4.0,,64.0,0.12,5.0,14.8,,0.143,0.62,0.04,0.58,1.2
Kr,37107.494742,83.798,119.78,,18.0,116.0,3.75,0.0,3.0,13.99961,1.164,1.64,7.535,0.087535,4.162478,5.244393,0.0,36.06,,,0.248,20.786,1.164,44.81,0.0,0.0,0.0,0.0,0.0,1.0,115.79,101.0,,0.0,18.0,0.0,10.0,25.0,0.0,0.0,0.0,6.0,0.0,2.0,36.0,2.4844,0.00943,4.0,,225.0,0.00943,2.0,9.02,,0.138,0.6,0.04,0.56,1.16
Rb,92.640952,85.4678,961.0,2.5,1.0,220.0,1532.0,46.9,0.82,4.177128,2.19,2.19,0.0,-0.963335,5.6612849999999995,7.132772,0.0,90.7225,6000.0,6000.0,0.363,31.06,2.19,93.09,1.0,0.0,0.0,1.0,0.0,0.0,312.46,4.0,244.0,1.0,1.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,1.0,1.0,37.0,47.27,58.,5.0,,229.0,58.0,1.0,71.0,0.6,0.71,2.43,0.76,1.67,4.1
Sr,55.323131000000004,87.62,1655.0,,2.0,195.0,2630.0,5.03,0.95,5.69485,7.43,8.0,0.0,-1.682814,4.768955,6.008506,0.0,54.23,4200.0,3000.0,0.306,26.79,7.43,56.08,1.0,0.0,0.0,1.0,0.0,0.0,1050.0,8.0,212.0,0.0,2.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,2.0,38.0,25.55,35.,5.0,6.1,225.0,35.0,2.0,137.0,0.84,0.633,1.79,0.37,1.42,3.21
